CODIGO_ACCIDENTE,FECHA,CODIGO_CAUSA
4401764,08/01/2015,157
4401770,08/01/2015,121
4401771,08/01/2015,103
4401772,08/01/2015,112
4401772,08/01/2015,112
4401774,08/01/2015,139
4401774,08/01/2015,116
4401769,08/01/2015,112
4401775,08/01/2015,145
4401776,08/01/2015,102
4401777,08/01/2015,103
4401784,08/01/2015,103
4401782,08/01/2015,121
4401779,08/01/2015,409
4401785,08/01/2015,157
4401785,08/01/2015,157
4401786,08/01/2015,157
4401786,08/01/2015,157
4401788,08/01/2015,122
4401789,08/01/2015,142
4401789,08/01/2015,142
4401790,08/01/2015,103
4401794,08/01/2015,152
4401796,08/01/2015,121
4401791,08/01/2015,121
4401797,08/01/2015,104
4401798,08/01/2015,157
4401799,08/01/2015,103
4401801,08/01/2015,112
4401800,08/01/2015,157
4401807,08/01/2015,112
4401806,08/01/2015,112
4401805,08/01/2015,103
4401809,08/01/2015,157
4401812,08/01/2015,121
4401810,08/01/2015,103
4401802,08/01/2015,134
4401795,08/01/2015,121
4401792,08/01/2015,143
4401783,08/01/2015,143
4401821,08/01/2015,411
4401820,08/01/2015,121
4401828,08/01/2015,121
4401833,08/01/2015,157
4401833,08/01/2015,157
4401842,08/01/2015,134
4401853,08/01/2015,121
4401862,08/01/2015,102
4401859,08/01/2015,157
4401859,08/01/2015,157
4401846,08/01/2015,103
4401865,08/01/2015,103
4401865,08/01/2015,102
4401868,08/01/2015,121
4401911,08/01/2015,157
4401911,08/01/2015,157
4401941,08/01/2015,121
4401963,08/01/2015,103
4401781,08/01/2015,121
4401869,08/01/2015,121
4412503,08/01/2015,103
4401858,09/01/2015,123
4402012,09/01/2015,116
4401762,09/01/2015,157
4401762,09/01/2015,157
4401765,09/01/2015,202
4401768,09/01/2015,306
4401804,09/01/2015,122
4401808,09/01/2015,411
4401808,09/01/2015,93
4401811,09/01/2015,502
4401815,09/01/2015,303
4401813,09/01/2015,157
4401813,09/01/2015,157
4401817,09/01/2015,122
4401816,09/01/2015,121
4401819,09/01/2015,103
4401818,09/01/2015,409
4401822,09/01/2015,122
4401823,09/01/2015,157
4401825,09/01/2015,157
4401824,09/01/2015,121
4401827,09/01/2015,121
4401829,09/01/2015,121
4401832,09/01/2015,157
4401830,09/01/2015,145
4401830,09/01/2015,112
4401834,09/01/2015,157
4401831,09/01/2015,121
4401835,09/01/2015,121
4401837,09/01/2015,116
4401837,09/01/2015,106
4401836,09/01/2015,121
4401838,09/01/2015,121
4401840,09/01/2015,134
4401841,09/01/2015,121
4401839,09/01/2015,123
4401845,09/01/2015,103
4401843,09/01/2015,132
4401847,09/01/2015,157
4401844,09/01/2015,134
4401852,09/01/2015,121
4401848,09/01/2015,157
4401848,09/01/2015,157
4401850,09/01/2015,134
4401851,09/01/2015,132
4401856,09/01/2015,157
4401854,09/01/2015,157
4401855,09/01/2015,112
4401857,09/01/2015,157
4401857,09/01/2015,157
4401858,09/01/2015,112
4401860,09/01/2015,119
4401864,09/01/2015,121
4401861,09/01/2015,106
4401863,09/01/2015,121
4401879,09/01/2015,409
4401883,09/01/2015,139
4401885,09/01/2015,112
4401889,09/01/2015,103
4401894,09/01/2015,506
4401905,09/01/2015,121
4401910,09/01/2015,103
4401914,09/01/2015,103
4401913,09/01/2015,145
4401919,09/01/2015,103
4401924,09/01/2015,121
4401928,09/01/2015,146
4401929,09/01/2015,121
4401937,09/01/2015,411
4401952,09/01/2015,121
4401966,09/01/2015,145
4401972,09/01/2015,103
4401984,09/01/2015,157
4402003,09/01/2015,98
4402012,09/01/2015,157
4402012,09/01/2015,112
4402022,09/01/2015,121
4402103,09/01/2015,132
4403205,09/01/2015,121
4401849,09/01/2015,127
4401877,10/01/2015,122
4401903,10/01/2015,99
4401994,10/01/2015,139
4401866,10/01/2015,157
4401872,10/01/2015,411
4401873,10/01/2015,112
4401876,10/01/2015,101
4401876,10/01/2015,205
4401877,10/01/2015,121
4401877,10/01/2015,119
4401880,10/01/2015,103
